Zone,Type,Brand,AutoLinked
tc,cctld,false,false
tci,gtld,false,false
td,cctld,false,false
tdk,gtld,true,false
team,gtld,false,false
tech,gtld,false,true
technology,gtld,false,false
tel,gtld,false,false
temasek,gtld,true,false
tennis,gtld,false,false
teva,gtld,true,false
tf,cctld,false,false
tg,cctld,false,false
th,cctld,false,true
thd,gtld,false,false
theater,gtld,false,false
theatre,gtld,false,false
tiaa,gtld,true,false
tickets,gtld,false,false
tienda,gtld,false,false
tips,gtld,false,false
tires,gtld,false,false
tirol,gtld,false,false
tj,cctld,false,false
tjmaxx,gtld,true,false
tjx,gtld,true,false
tk,cctld,false,false
tkmaxx,gtld,true,false
tl,cctld,false,false
tm,cctld,false,true
tmall,gtld,true,false
tn,cctld,false,true
to,cctld,false,true
today,gtld,false,false
tokyo,gtld,false,false
tools,gtld,false,false
top,gtld,false,false
toray,gtld,true,false
toshiba,gtld,true,false
total,gtld,true,false
tours,gtld,false,false
town,gtld,false,false
toyota,gtld,true,false
toys,gtld,false,false
tr,cctld,false,true
trade,gtld,false,false
trading,gtld,false,false
training,gtld,false,false
travel,gtld,false,false
travelers,gtld,true,false
travelersinsurance,gtld,false,false
trust,gtld,false,false
trv,gtld,false,false
tt,cctld,false,true
tube,gtld,false,false
tui,gtld,true,false
tunes,gtld,false,false
tushu,gtld,false,false
tv,cctld,false,true
tvs,gtld,false,false
tw,cctld,false,true
tz,cctld,false,false
ua,cctld,false,true
ubank,gtld,true,false
ubs,gtld,true,false
ug,cctld,false,false
uk,cctld,false,true
unicom,gtld,true,false
university,gtld,false,false
uno,gtld,false,false
uol,gtld,true,false
ups,gtld,true,false
us,cctld,false,true
uy,cctld,false,true
uz,cctld,false,false
va,cctld,false,true
vacations,gtld,false,false
vana,gtld,false,false
vanguard,gtld,true,false
vc,cctld,false,false
ve,cctld,false,false
vegas,gtld,false,false
ventures,gtld,false,false
verisign,gtld,true,false
versicherung,gtld,false,false
vet,gtld,false,false
vg,cctld,false,false
vi,cctld,false,false
viajes,gtld,false,false
video,gtld,false,false
vig,gtld,true,false
viking,gtld,true,false
villas,gtld,false,false
vin,gtld,false,false
vip,gtld,false,true
virgin,gtld,true,false
visa,gtld,true,false
vision,gtld,false,false
viva,gtld,false,false
vivo,gtld,true,false
vlaanderen,gtld,false,false
vn,cctld,false,true
vodka,gtld,false,false
